dataset	method	seed	rmse	score	source	log_file
FD001	B	51	13.6601610184	304.407958984	final	/CMAPSS-release/logs/FD001_FD001_B/seed51/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_005409_seed51.log
FD001	B	62	13.6645526886	330.204559326	final	/CMAPSS-release/logs/FD001_FD001_B/seed62/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_005652_seed62.log
FD001	B	80	15.021651268	351.676635742	final	/CMAPSS-release/logs/FD001_FD001_B/seed80/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_005949_seed80.log
FD001	B	88	13.5436325073	381.163909912	final	/CMAPSS-release/logs/FD001_FD001_B/seed88/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_010230_seed88.log
FD001	B	97	14.3185195923	327.375549316	final	/CMAPSS-release/logs/FD001_FD001_B/seed97/FD001_B_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_010522_seed97.log
FD001	C	2	14.6529865265	407.653808594	final	/CMAPSS-release/logs/FD001_FD001_C/seed2/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_010755_seed2.log
FD001	C	17	16.4484043121	542.840637207	final	/CMAPSS-release/logs/FD001_FD001_C/seed17/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_011014_seed17.log
FD001	C	27	15.1370410919	437.517089844	final	/CMAPSS-release/logs/FD001_FD001_C/seed27/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_011220_seed27.log
FD001	C	30	17.5544872284	674.441833496	final	/CMAPSS-release/logs/FD001_FD001_C/seed30/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_011435_seed30.log
FD001	C	33	13.9000005722	297.03125	final	/CMAPSS-release/logs/FD001_FD001_C/seed33/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_011642_seed33.log
FD001	C	51	14.5316896439	367.163818359	final	/CMAPSS-release/logs/FD001_FD001_C/seed51/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_011853_seed51.log
FD001	C	62	13.8791208267	319.080871582	final	/CMAPSS-release/logs/FD001_FD001_C/seed62/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_012053_seed62.log
FD001	C	80	14.3940963745	364.972381592	final	/CMAPSS-release/logs/FD001_FD001_C/seed80/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_012259_seed80.log
FD001	C	88	13.8928041458	326.395996094	final	/CMAPSS-release/logs/FD001_FD001_C/seed88/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_012523_seed88.log
FD001	C	97	15.6936292648	446.693511963	final	/CMAPSS-release/logs/FD001_FD001_C/seed97/FD001_C_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_012750_seed97.log
FD001	D	2	13.7767925262	321.400604248	final	/CMAPSS-release/logs/FD001_FD001_D/seed2/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_012958_seed2.log
FD001	D	17	13.3794612885	276.749969482	final	/CMAPSS-release/logs/FD001_FD001_D/seed17/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_013249_seed17.log
FD001	D	27	14.1957740784	403.39050293	final	/CMAPSS-release/logs/FD001_FD001_D/seed27/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_013535_seed27.log
FD001	D	30	14.1467313766	348.380401611	final	/CMAPSS-release/logs/FD001_FD001_D/seed30/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_013827_seed30.log
FD001	D	33	14.9338541031	357.356994629	final	/CMAPSS-release/logs/FD001_FD001_D/seed33/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_014113_seed33.log
FD001	D	51	13.3603887558	268.666656494	final	/CMAPSS-release/logs/FD001_FD001_D/seed51/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_014409_seed51.log
FD001	D	62	14.9167690277	402.638946533	final	/CMAPSS-release/logs/FD001_FD001_D/seed62/FD001_D_学习率+0.002_嵌入模型维度embed+8_topk+7_0420_014707_seed62.log
